,logFC,logCPM,F,PValue,FDR
WBGene00012548,0.467033983,3.477924804,21.4315867,3.61210500570596e-05,9.26228777101794e-05
WBGene00004782,-0.342713519,6.369413643,21.42953948,3.61430182475783e-05,9.26503222577337e-05
WBGene00007553,0.493988524,4.059346052,21.42953967,3.61451300520353e-05,9.26503222577337e-05
WBGene00017653,0.586385829,3.788666197,21.42391577,3.6215389616927e-05,9.28132427333346e-05
WBGene00018024,0.452781642,6.504501127,21.41781206,3.62886623908071e-05,9.29838237953126e-05
WBGene00020658,0.579190554,5.121207298,21.41284382,3.63508474620461e-05,9.31259365718999e-05
WBGene00018877,-1.235494197,1.902800149,21.41215089,3.63825565214607e-05,9.31899358238302e-05
WBGene00050906,1.975598452,0.69246689,21.37949315,3.64388488507164e-05,9.33168671251846e-05
WBGene00001883,0.782408882,1.917756409,21.40631727,3.64568693980159e-05,9.3345758761796e-05
WBGene00195063,-0.537418402,3.970612865,21.39724153,3.65479327550816e-05,9.35616271527242e-05
WBGene00015466,-0.442837892,3.988454294,21.38868644,3.66553227405982e-05,9.38192037329574e-05
WBGene00005759,0.963630205,1.028229603,21.38162081,3.68225987032893e-05,9.42228428166694e-05
WBGene00017051,1.16332399,0.949824217,21.38261812,3.68266294404742e-05,9.42228428166694e-05
WBGene00016367,0.811912983,2.089976983,21.37455026,3.6849096133098e-05,9.42629140601428e-05
WBGene00017416,-0.979604039,2.287562119,21.37034023,3.68982481539575e-05,9.43712210909564e-05
WBGene00009952,-0.424315288,8.226498648,21.35261224,3.71097192769494e-05,9.48945599823339e-05
WBGene00001909,-0.263937405,7.511493044,21.34880657,3.71582480403226e-05,9.50011169905036e-05
WBGene00019339,0.975685623,0.943165444,21.35492743,3.71694293705634e-05,9.501216749235e-05
WBGene00004440,-0.315531968,10.67474277,21.34519651,3.72043348168809e-05,9.50838461039546e-05
WBGene00009138,-0.565809682,3.330841848,21.34379261,3.72262816483275e-05,9.51223857946197e-05
WBGene00001570,-0.835027828,5.416058582,21.33871618,3.72873481976844e-05,9.52608534183556e-05
WBGene00007541,1.605252712,-0.419206049,21.43286906,3.73086895152458e-05,9.52977995879005e-05
WBGene00009547,0.759551311,3.580205897,21.32959201,3.74075304954519e-05,9.55326534703171e-05
WBGene00021002,0.76584916,2.876892641,21.3115173,3.76447129425768e-05,9.61206568996449e-05
WBGene00003978,0.397726779,6.227611514,21.29515933,3.78494689292602e-05,9.662566229416e-05
WBGene00019840,0.796353142,3.323479586,21.2850621,3.79852465277019e-05,9.69544195507143e-05
WBGene00003025,-0.283794748,7.528640592,21.27977114,3.80501843068188e-05,9.71022757955146e-05
WBGene00010250,0.993786563,0.934212868,21.28208836,3.81241263897144e-05,9.72730518972782e-05
WBGene00021872,0.737006137,4.431332067,21.26275731,3.82749129289311e-05,9.76235892872397e-05
WBGene00011027,2.337580649,-1.247044677,20.78288393,3.82756073793675e-05,9.76235892872397e-05
WBGene00019713,0.333703019,5.627948344,21.25847229,3.83299673374198e-05,9.77442392411522e-05
WBGene00007113,-0.481623683,4.17351039,21.24821194,3.84675371590868e-05,9.8076997004909e-05
WBGene00004451,-0.388142216,9.607886402,21.24230049,3.85436987858564e-05,9.82530945126395e-05
WBGene00001748,0.212421064,8.72891047,21.20909625,3.89866534571637e-05,9.93639602003002e-05
WBGene00017699,0.210127318,7.05244046,21.19843417,3.91300324097868e-05,9.9711039172253e-05
WBGene00018657,0.319499916,6.119954827,21.19679631,3.91521369095732e-05,9.97490160881751e-05
WBGene00002086,0.875017568,1.734614605,21.19510434,3.92050615933447e-05,9.98654860593988e-05
WBGene00007287,-0.267322063,6.061957465,21.1918191,3.92192959496564e-05,9.9883376998463e-05
WBGene00009435,0.486493373,6.760744182,21.18545576,3.93053019282169e-05,0.000100084
WBGene00006804,-0.410292878,5.218817098,21.18323152,3.93355564651447e-05,0.000100143
WBGene00003706,0.651669098,2.7574659,21.1711364,3.95075253915783e-05,0.000100562
WBGene00194680,-0.873916654,3.86932834,21.16202382,3.96265552448016e-05,0.000100846
WBGene00007848,0.370504541,7.545059451,21.15886441,3.9666968724644e-05,0.000100931
WBGene00003033,0.659233009,2.424039812,21.15579955,3.97204508197032e-05,0.000101048
